"Skill","File","SHA256","Path"
"security-best-practices","LICENSE.txt","4DD13869245E356246A5B770723247BBB80A8F07A181D1D3D873A1734297CDB9","C:\Users\Administrator\.codex\skills\security-best-practices\LICENSE.txt"
"security-best-practices","SKILL.md","7B3DAE1FFC5434D890F3C65C8F552AF52D0307FAB3B35DEC13013C9CA3844C4F","C:\Users\Administrator\.codex\skills\security-best-practices\SKILL.md"
"security-best-practices","openai.yaml","6E9C6F2EDCE448EB2B589F81AD6E3F722665021785513BCBFD0BF7B86B529171","C:\Users\Administrator\.codex\skills\security-best-practices\agents\openai.yaml"
"security-best-practices","golang-general-backend-security.md","A73C47C34497B120672D48411FE51DC90D426A571801A0B3F649E2CE4EC658B4","C:\Users\Administrator\.codex\skills\security-best-practices\references\golang-general-backend-security.md"
"security-best-practices","javascript-express-web-server-security.md","427835CBB5BE7BA96172EA6CA9AF80DDD4419C833E9EBF870996740C80D8406C","C:\Users\Administrator\.codex\skills\security-best-practices\references\javascript-express-web-server-security.md"
"security-best-practices","javascript-general-web-frontend-security.md","3A7BC7B3F6E7FF043DB9DBAA8933894D7A19D987D0607E4DDAE5D70184A63D63","C:\Users\Administrator\.codex\skills\security-best-practices\references\javascript-general-web-frontend-security.md"
"security-best-practices","javascript-jquery-web-frontend-security.md","BCBAD2FA6C2A02709E47E889E70102C76886BF36BC798624D27DB570ECCF40DA","C:\Users\Administrator\.codex\skills\security-best-practices\references\javascript-jquery-web-frontend-security.md"
"security-best-practices","javascript-typescript-nextjs-web-server-security.md","71C773F7A97CE60C853ADFA100B3D88B3B7BC4C6B8ACAEF1432FFABD923EE182","C:\Users\Administrator\.codex\skills\security-best-practices\references\javascript-typescript-nextjs-web-server-security.md"
"security-best-practices","javascript-typescript-react-web-frontend-security.md","D3030C0F24BDDB56B9BBB91BBEC1EE49EB7778BCE4D3E0297B2641B2FC6B0D9C","C:\Users\Administrator\.codex\skills\security-best-practices\references\javascript-typescript-react-web-frontend-security.md"
"security-best-practices","javascript-typescript-vue-web-frontend-security.md","77C6A747F9F17E3DF03AAD0FCB20D99AC7898001B81AEF8B80908E45AC14A688","C:\Users\Administrator\.codex\skills\security-best-practices\references\javascript-typescript-vue-web-frontend-security.md"
"security-best-practices","python-django-web-server-security.md","4FB69B5D45F10E588D1A8C35CDC5F59E18910F6B46A93E2D342D90F286F8DFD2","C:\Users\Administrator\.codex\skills\security-best-practices\references\python-django-web-server-security.md"
"security-best-practices","python-fastapi-web-server-security.md","7383C7F4FC271190B05E562ADA7E825982A2C76B6C79A9F95A1DA7687B65A616","C:\Users\Administrator\.codex\skills\security-best-practices\references\python-fastapi-web-server-security.md"
"security-best-practices","python-flask-web-server-security.md","9606D69190C04C167FDEAC57E61297547A57B0542FD89DEDE36F355970446929","C:\Users\Administrator\.codex\skills\security-best-practices\references\python-flask-web-server-security.md"
"security-threat-model","LICENSE.txt","4DD13869245E356246A5B770723247BBB80A8F07A181D1D3D873A1734297CDB9","C:\Users\Administrator\.codex\skills\security-threat-model\LICENSE.txt"
"security-threat-model","SKILL.md","1283C0DD62A8104D9EDDA4583569B5D8510B4DDAA45120687C999250FD96BAD2","C:\Users\Administrator\.codex\skills\security-threat-model\SKILL.md"
"security-threat-model","openai.yaml","3319B59736312ABCECA614E341C0E59CAE47263E3B58A22B2B5DDF1E5FC8C227","C:\Users\Administrator\.codex\skills\security-threat-model\agents\openai.yaml"
"security-threat-model","prompt-template.md","81A59AA3FB3AC3A739D6A26AB38E4015965F215581EE54BECEF21A2B121EC29B","C:\Users\Administrator\.codex\skills\security-threat-model\references\prompt-template.md"
"security-threat-model","security-controls-and-assets.md","D536CFA9ACAD2523DC39134BCF33B9566C29DD9A57B407CBC9901637230C6B98","C:\Users\Administrator\.codex\skills\security-threat-model\references\security-controls-and-assets.md"
"security-ownership-map","LICENSE.txt","4DD13869245E356246A5B770723247BBB80A8F07A181D1D3D873A1734297CDB9","C:\Users\Administrator\.codex\skills\security-ownership-map\LICENSE.txt"
"security-ownership-map","SKILL.md","F06C1A59247569326702C945F397AF163EA96CF2ECFDF2DDE280605BF89A3EC8","C:\Users\Administrator\.codex\skills\security-ownership-map\SKILL.md"
"security-ownership-map","openai.yaml","40877A3CDB1753AA187FC85A83BC138A866A1EDB74165E009C885CFB6A16E433","C:\Users\Administrator\.codex\skills\security-ownership-map\agents\openai.yaml"
"security-ownership-map","neo4j-import.md","176D0EF2ED3588530ED65CCDA7CB30AE322E4CBEC5C374DBA5D1685E2BB9DD02","C:\Users\Administrator\.codex\skills\security-ownership-map\references\neo4j-import.md"
"security-ownership-map","build_ownership_map.py","C0454C47C7EB001B6E247CD7E473DF1B28A3A148A2DCA6B2FE88A74A7602CC9B","C:\Users\Administrator\.codex\skills\security-ownership-map\scripts\build_ownership_map.py"
"security-ownership-map","community_maintainers.py","95ADEC5458CC85B41D0AE7965B0A17E4E8EAA6AAAB274459324580D9A91CC3CC","C:\Users\Administrator\.codex\skills\security-ownership-map\scripts\community_maintainers.py"
"security-ownership-map","query_ownership.py","0F8D1A1AC3EF807A9B66939A8CDFD02564F4CDA018489A3664D37F8C3A7B1B93","C:\Users\Administrator\.codex\skills\security-ownership-map\scripts\query_ownership.py"
"security-ownership-map","run_ownership_map.py","362B547D6133659EB5C4FE889B8B930BEA790F31E412F3198671BAAE09EEC692","C:\Users\Administrator\.codex\skills\security-ownership-map\scripts\run_ownership_map.py"
"playwright","LICENSE.txt","9A7110FC2D2F964038E5DC49128F908F29F47A574C961CBA16085914E879CBDA","C:\Users\Administrator\.codex\skills\playwright\LICENSE.txt"
"playwright","NOTICE.txt","417D5D3372914ECFD9FE102AC1D7DC2119253209F9718D6C222F616876C1904B","C:\Users\Administrator\.codex\skills\playwright\NOTICE.txt"
"playwright","SKILL.md","0FFAABCC8E0990627C4725F18BF1C7955534A796C1C199E872909DE2013CE6A8","C:\Users\Administrator\.codex\skills\playwright\SKILL.md"
"playwright","openai.yaml","DDDA43720FC566FFFA45264BE8F17F7745A3CEE28D5245D41D3B963BC9967230","C:\Users\Administrator\.codex\skills\playwright\agents\openai.yaml"
"playwright","playwright-small.svg","F1D213C0F76735D8272C3D3E9FBF71FE7B894E2D1588907044C780F2C33A9732","C:\Users\Administrator\.codex\skills\playwright\assets\playwright-small.svg"
"playwright","playwright.png","521669F088C838196C6C852CCC9ABDD7234D8F37FC9A8A7A9AF7DB2D50193381","C:\Users\Administrator\.codex\skills\playwright\assets\playwright.png"
"playwright","cli.md","7C069A8206BA20B9DDBDC42436B04DE30BB3AA4A825BA98680757EE62E954900","C:\Users\Administrator\.codex\skills\playwright\references\cli.md"
"playwright","workflows.md","A2B5835A00EBEE3906C146ADF7F764F7718EA3F89A8702D86EAA135DFE0FC8C2","C:\Users\Administrator\.codex\skills\playwright\references\workflows.md"
"playwright","playwright_cli.sh","AA3FDFF5D0E4556177F4DFD5F04117E772AA54F94B6A2E34B6C0EDF629C6B9B5","C:\Users\Administrator\.codex\skills\playwright\scripts\playwright_cli.sh"
"screenshot","LICENSE.txt","4DD13869245E356246A5B770723247BBB80A8F07A181D1D3D873A1734297CDB9","C:\Users\Administrator\.codex\skills\screenshot\LICENSE.txt"
